64
2	6250	6	256250	10	980266	14	2202766	18	4161608	22	6813390	26	10013230	30	13666022
3	31250	7	389724	11	1237980	15	2583008	19	4783958	23	7564038	27	10891152	31	14635470
4	62500	8	525000	12	1516776	16	2970000	20	5408928	24	8330584	28	11770876	32	15611168
5	154852	9	749258	13	1855928	17	3563036	21	6093168	25	9171006	29	12715324		
256
2	1562	18	1012990	34	4560162	50	11017342	66	20648754	82	34492592	98	51486642	114
3	7810	19	1157992	35	4890132	51	11516840	67	21439396	83	35443938	99	52660116	115
4	15620	20	1305744	36	5222296	52	12018388	68	22234020	84	36395172	100	53838088	116
5	38072	21	1466210	37	5565236	53	12558226	69	23049732	85	37378800	101	55014262	117
6	63508	22	1637794	38	5909202	54	13096646	70	23852796	86	38376438	102	56202826	118
7	97178	23	1820052	39	6262248	55	13661614	71	24693608	87	39389054	103	57417112	119
8	131240	24	2010846	40	6613472	56	14229492	72	25522408	88	40416536	104	58625240	120
9	183744	25	2215714	41	7002794	57	14793682	73	26375828	89	41512742	105	59854744	121
10	242266	26	2426298	42	7390586	58	15363628	74	27235240	90	42597626	106	61084902	122
11	304722	27	2645436	43	7794422	59	15981086	75	28114952	91	43676474	107	62324634	123
12	368952	28	2871704	44	8217264	60	16575644	76	29000908	92	44759294	108	63582416	124
13	457504	29	3122510	45	8674910	61	17194812	77	29894452	93	45870244	109	64851966	125
14	547522	30	3373854	46	9129192	62	17822806	78	30797954	94	46975856	110	66120434	126
15	644036	31	3646344	47	9575736	63	18435790	79	31702182	95	48081112	111	67392724	127
16	742480	32	3899744	48	10016256	64	19050432	80	32593088	96	49182368	112	68666416	128
17	878888	33	4230950	49	10518838	65	19848790	81	33544628	97	50344050	113	69984758	
